Year,Event,Lat,Lon,Mag
1812,Wrightwood,34.37,-117.65,7.5
1857,FortTejon,35.3,-119.8,8.2
1872,OwensValley,36.7,-118.1,7.3
1892,LagunaSalada,32.55,-115.63,7.2
1899,SanJacinto,33.8,-117.0,6.7
1915,VolcanoLake,32.33,-115.18,6.6
1918,SanJacinto,33.8,-117.0,6.8
1927,Lompoc,34.35,-120.9,6.6
1934,LagunaSalada,32.25,-115.5,6.5
1934,Co.RiverDelta,32.0,-114.75,7.0
1940,ImperialValley,32.87,-115.48,7.0
1947,Manix,34.98,-116.55,6.5
1952,KernCounty,35.0,-119.02,7.5
1968,BorregoMountain,33.19,-116.13,6.5
1971,SanFernando,34.41,-118.4,6.6
1987,SuperstitionHills,33.01,-115.85,6.6
1992,Landers,34.2,-116.44,7.3
1992,BigBear,34.2,-116.83,6.5
1994,Northridge,34.27,-118.54,6.7
1999,HectorMine,34.59,-116.27,7.2
2003,SanSimeon,35.71,-121.1,6.6
2010,Baja,32.13,-115.3,7.2
2019,Ridgecrest,35.705,-117.504,6.4
2019,Ridgecrest,35.77,-117.599,7.1
